                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.65208,                0.57832,                0.17115,                0.71105,                0.65545,                0.67713,                0.49423,                0.12638,                 0.4449,                0.58374,                0.52413,                0.17521,             5.6044e-05,             5.6044e-05,             5.6044e-05
                     47,                0.68132,                0.56084,                0.17754,                0.72155,                0.64278,                0.68378,                0.50875,                  0.103,                0.44232,                0.59041,                 0.5316,                0.18911,             5.5045e-05,             5.5045e-05,             5.5045e-05
                     48,                0.65898,                  0.573,                0.16655,                0.71041,                 0.6686,                 0.6843,                0.50913,                 0.1107,                0.44718,                0.58592,                0.53442,                0.18175,             5.4046e-05,             5.4046e-05,             5.4046e-05
                     49,                0.67669,                0.56452,                 0.1734,                0.70692,                0.65228,                0.67282,                0.46652,                0.14474,                0.43527,                0.58387,                0.53893,                0.17846,             5.3047e-05,             5.3047e-05,             5.3047e-05
                     50,                0.65933,                0.56354,                0.16244,                0.72712,                0.65165,                0.67285,                0.49603,                0.14878,                0.44365,                0.57606,                0.53728,                0.18419,             5.2048e-05,             5.2048e-05,             5.2048e-05
                     51,                0.64303,                0.55971,                0.16438,                0.73815,                0.65421,                0.69134,                0.52993,                0.21201,                0.46993,                0.54641,                 0.5226,                0.16292,             5.1049e-05,             5.1049e-05,             5.1049e-05
                     52,                0.63906,                0.55135,                0.16406,                0.72803,                0.66724,                0.69108,                0.48456,                0.11812,                 0.4426,                0.57995,                0.52594,                0.18467,              5.005e-05,              5.005e-05,              5.005e-05
                     53,                0.62992,                0.55689,                0.15875,                0.73932,                0.65125,                0.68414,                 0.5134,                0.15621,                0.45943,                0.55775,                0.51719,                0.16731,             4.9051e-05,             4.9051e-05,             4.9051e-05
                     54,                0.64767,                0.54943,                0.15996,                0.71452,                0.63873,                0.67192,                0.51931,                0.18647,                 0.4639,                0.56802,                0.51447,                 0.1731,             4.8052e-05,             4.8052e-05,             4.8052e-05
                     55,                0.63353,                0.55802,                0.15671,                 0.7373,                0.64058,                0.68679,                0.50915,                 0.1761,                0.46175,                0.56798,                0.53156,                0.16906,             4.7053e-05,             4.7053e-05,             4.7053e-05
                     56,                0.63292,                0.54771,                0.15515,                0.74199,                 0.6434,                0.68764,                0.51386,                0.23465,                0.47938,                0.55099,                0.50914,                0.16592,             4.6054e-05,             4.6054e-05,             4.6054e-05
                     57,                0.62104,                0.55044,                0.15358,                0.70248,                0.66226,                0.69371,                0.52857,                0.24957,                0.48372,                0.54595,                 0.5058,                0.16329,             4.5055e-05,             4.5055e-05,             4.5055e-05
                     58,                0.62963,                0.54579,                 0.1553,                0.75743,                0.65727,                0.69302,                0.52029,                 0.2299,                0.47923,                0.54744,                0.49766,                0.16527,             4.4056e-05,             4.4056e-05,             4.4056e-05
