                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.47169,                0.52444,                0.13927,                0.81828,                0.71484,                0.77507,                0.55476,                 0.2343,                0.52169,                0.42336,                0.47638,                0.15111,                 0.0001,                 0.0001,                 0.0001
                    105,                0.47643,                0.52067,                0.14399,                0.79837,                0.71914,                0.77924,                 0.5572,                 0.2745,                0.53323,                0.41331,                0.46634,                0.14475,                 0.0001,                 0.0001,                 0.0001
                    106,                0.48391,                0.52449,                0.14577,                0.81179,                0.71472,                 0.7783,                0.55481,                0.27788,                0.52889,                0.41496,                0.46835,                0.14512,                 0.0001,                 0.0001,                 0.0001
                    107,                0.48401,                0.51924,                0.14147,                0.82489,                0.72047,                0.78942,                0.56225,                0.25208,                0.53428,                0.41352,                0.46321,                0.14431,                 0.0001,                 0.0001,                 0.0001
                    108,                0.47404,                0.50887,                0.13413,                0.81745,                0.71344,                0.77922,                0.55898,                0.23754,                0.52693,                0.41234,                0.46891,                0.14731,                 0.0001,                 0.0001,                 0.0001
                    109,                 0.4755,                0.52485,                0.13744,                0.80814,                0.72242,                0.77878,                0.55745,                 0.2173,                0.52009,                0.41923,                0.48441,                 0.1478,                 0.0001,                 0.0001,                 0.0001
                    110,                0.47857,                0.50103,                0.13903,                0.83208,                0.71601,                0.78259,                 0.5601,                0.28087,                0.53611,                0.41385,                0.45614,                0.14048,                 0.0001,                 0.0001,                 0.0001
                    111,                0.46103,                 0.4973,                0.13229,                0.80205,                0.73046,                0.78359,                0.54957,                0.25724,                0.53115,                0.40775,                0.46904,                0.13789,                 0.0001,                 0.0001,                 0.0001
                    112,                0.46316,                0.51538,                0.13395,                0.82366,                0.71706,                0.78197,                0.55626,                0.30891,                0.54025,                0.39809,                0.47499,                0.13818,                 0.0001,                 0.0001,                 0.0001
                    113,                0.46224,                0.50943,                0.13345,                0.81423,                0.71082,                0.78141,                0.55425,                0.31202,                0.53933,                0.40601,                 0.4683,                0.13751,                 0.0001,                 0.0001,                 0.0001
                    114,                0.45828,                0.50908,                0.13127,                0.81502,                0.70897,                 0.7789,                0.55667,                0.32086,                0.53759,                0.41272,                0.44584,                0.14374,                 0.0001,                 0.0001,                 0.0001
                    115,                0.46315,                0.50135,                0.12751,                0.82072,                0.71652,                0.78621,                 0.5547,                0.27598,                0.53662,                0.40999,                 0.4691,                 0.1407,                 0.0001,                 0.0001,                 0.0001
                    116,                0.46316,                 0.5035,                0.13362,                0.84347,                0.72235,                0.79092,                0.55642,                0.27368,                0.53655,                 0.4063,                0.47114,                  0.141,                 0.0001,                 0.0001,                 0.0001
                    117,                0.45504,                0.49509,                0.12538,                0.82591,                0.71753,                0.78827,                0.55869,                0.31454,                0.54615,                0.40206,                0.46675,                0.13612,                 0.0001,                 0.0001,                 0.0001
                    118,                0.46282,                  0.497,                0.12977,                0.83054,                0.72054,                0.78921,                0.56147,                0.30978,                0.54774,                0.40222,                 0.4656,                0.13841,                 0.0001,                 0.0001,                 0.0001
                    119,                0.46411,                0.50091,                0.13151,                0.83772,                0.71029,                0.78603,                0.56365,                0.28194,                0.54308,                0.40357,                0.46833,                0.14004,                 0.0001,                 0.0001,                 0.0001
                    120,                 0.4672,                0.49683,                0.13092,                 0.8248,                0.71314,                0.78641,                0.55904,                0.26326,                0.53731,                0.40791,                0.46715,                0.13941,                 0.0001,                 0.0001,                 0.0001
                    121,                0.45947,                0.48944,                0.12646,                0.82485,                0.72286,                0.78463,                0.56253,                0.30089,                0.54495,                 0.4015,                0.47562,                0.13749,                 0.0001,                 0.0001,                 0.0001
                    122,                0.45444,                0.48638,                0.12599,                0.82388,                0.73231,                0.79269,                0.55605,                0.30698,                0.54768,                0.40546,                0.45319,                0.13936,                 0.0001,                 0.0001,                 0.0001
                    123,                0.45735,                0.49603,                0.12785,                0.83157,                0.72353,                0.78537,                0.56935,                0.32617,                 0.5512,                0.39223,                0.46063,                0.13317,                 0.0001,                 0.0001,                 0.0001
                    124,                0.45431,                0.49676,                0.13327,                0.81617,                0.72359,                0.78355,                0.55804,                0.31464,                0.54748,                0.39873,                0.46374,                0.13657,                 0.0001,                 0.0001,                 0.0001
                    125,                0.46765,                0.49077,                0.13376,                0.82185,                0.72589,                0.78928,                0.56439,                0.35112,                0.55405,                0.39464,                0.45589,                0.13252,                 0.0001,                 0.0001,                 0.0001
                    126,                0.45109,                0.48618,                0.12229,                0.82867,                0.72618,                0.78607,                0.55902,                0.32565,                0.54879,                0.40217,                0.44947,                0.13616,                 0.0001,                 0.0001,                 0.0001
                    127,                0.44738,                0.48319,                0.12476,                0.83405,                 0.7196,                0.78685,                0.56689,                0.33514,                0.55289,                 0.3962,                0.45322,                0.13506,                 0.0001,                 0.0001,                 0.0001
                    128,                0.45493,                0.47717,                0.12563,                0.84442,                0.72022,                0.79689,                0.57229,                0.32248,                0.55563,                0.39352,                0.45329,                0.13473,                 0.0001,                 0.0001,                 0.0001
                    129,                0.45489,                0.48367,                0.12546,                0.83547,                0.72687,                 0.7961,                0.56251,                0.32225,                0.55143,                0.39998,                0.45278,                0.13598,                 0.0001,                 0.0001,                 0.0001
                    130,                0.45016,                0.48518,                0.12484,                0.84009,                0.72503,                0.80384,                0.56035,                0.31729,                0.55218,                0.39937,                 0.4494,                0.13883,                 0.0001,                 0.0001,                 0.0001
                    131,                0.44928,                0.48706,                0.12391,                 0.8065,                0.72916,                 0.8014,                0.56243,                0.33261,                0.55331,                 0.3949,                0.45432,                0.13746,                 0.0001,                 0.0001,                 0.0001
                    132,                0.44751,                 0.4845,                0.12459,                0.82899,                0.72775,                0.79902,                0.56005,                0.30412,                0.54799,                 0.3986,                0.45724,                0.13737,                 0.0001,                 0.0001,                 0.0001
                    133,                0.44432,                0.47465,                0.12166,                0.81397,                 0.7328,                 0.7964,                0.56173,                0.31305,                0.55187,                0.39808,                0.45294,                0.13684,                 0.0001,                 0.0001,                 0.0001
                    134,                0.44215,                0.48797,                  0.119,                0.83818,                0.71782,                0.79885,                0.56859,                0.31034,                0.55338,                 0.3976,                0.45994,                0.13493,                 0.0001,                 0.0001,                 0.0001
                    135,                0.43888,                0.47038,                0.11619,                0.82564,                0.73399,                0.80078,                0.55996,                0.32392,                0.55568,                0.39685,                0.45151,                0.13552,                 0.0001,                 0.0001,                 0.0001
                    136,                 0.4432,                0.47061,                0.12144,                0.84221,                0.72915,                0.80416,                0.56361,                0.32332,                0.55499,                0.39881,                0.44692,                0.13677,                 0.0001,                 0.0001,                 0.0001
                    137,                0.44002,                0.48057,                 0.1195,                0.82928,                0.73227,                0.80093,                0.56342,                0.30583,                0.55454,                0.39941,                0.45613,                0.13366,                 0.0001,                 0.0001,                 0.0001
