                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.62562,                0.52103,                0.15193,                0.77005,                0.67958,                0.72803,                0.53979,                0.14327,                0.47902,                0.55254,                0.49863,                0.17203,             4.8052e-05,             4.8052e-05,             4.8052e-05
                     55,                0.61797,                0.53179,                0.15284,                0.74159,                0.68928,                0.72442,                0.53689,                0.19147,                0.49129,                0.53544,                 0.4941,                0.16374,             4.7053e-05,             4.7053e-05,             4.7053e-05
                     56,                0.61705,                 0.5195,                0.14768,                 0.7693,                0.67045,                0.73104,                0.53548,                0.22856,                0.49452,                0.52699,                0.50169,                 0.1569,             4.6054e-05,             4.6054e-05,             4.6054e-05
                     57,                0.60453,                0.53143,                0.14408,                0.77384,                0.68164,                0.73336,                0.54014,                0.29151,                0.50814,                0.50467,                0.48709,                0.14768,             4.5055e-05,             4.5055e-05,             4.5055e-05
                     58,                0.61169,                0.51394,                0.14515,                0.76557,                0.69045,                0.72639,                0.53989,                0.25412,                0.50116,                 0.5275,                0.48272,                0.15811,             4.4056e-05,             4.4056e-05,             4.4056e-05
                     59,                 0.6094,                0.51807,                0.14476,                0.74936,                 0.6989,                0.72859,                 0.5406,                0.27918,                0.50992,                0.51409,                0.49175,                0.15447,             4.3057e-05,             4.3057e-05,             4.3057e-05
                     60,                0.60482,                 0.5147,                0.14065,                0.77626,                0.68743,                0.73639,                0.53805,                0.23251,                0.50206,                0.51851,                0.48544,                0.15722,             4.2058e-05,             4.2058e-05,             4.2058e-05
                     61,                0.58336,                0.51667,                  0.141,                0.77468,                0.69004,                0.73894,                0.53225,                0.26014,                0.50254,                0.52364,                0.48906,                0.15459,             4.1059e-05,             4.1059e-05,             4.1059e-05
                     62,                0.60149,                0.51801,                0.14058,                0.76586,                0.69256,                0.73856,                0.53033,                0.24175,                0.50601,                0.52459,                0.49331,                0.15671,              4.006e-05,              4.006e-05,              4.006e-05
                     63,                0.59879,                0.50509,                0.14072,                0.78778,                 0.7036,                0.74761,                0.54437,                0.25725,                0.50849,                0.52133,                 0.4853,                0.15759,             3.9061e-05,             3.9061e-05,             3.9061e-05
                     64,                 0.5916,                0.50514,                0.13736,                0.78777,                0.69771,                0.74113,                0.54189,                0.21717,                0.49853,                0.53205,                 0.4856,                 0.1605,             3.8062e-05,             3.8062e-05,             3.8062e-05
                     65,                0.59097,                0.50685,                0.13562,                0.78609,                0.68078,                0.73751,                0.53766,                0.26944,                0.51405,                0.51698,                 0.4757,                0.15473,             3.7063e-05,             3.7063e-05,             3.7063e-05
                     66,                0.58642,                0.50407,                0.13798,                0.79523,                0.69394,                0.74115,                 0.5443,                 0.2583,                0.51148,                0.51297,                0.47541,                   0.15,             3.6064e-05,             3.6064e-05,             3.6064e-05
                     67,                0.57343,                0.50832,                0.13194,                0.79476,                0.68319,                0.74362,                0.54246,                0.24285,                0.51055,                0.51075,                0.47443,                0.15347,             3.5065e-05,             3.5065e-05,             3.5065e-05
                     68,                0.58732,                0.51142,                0.13632,                0.77918,                0.69389,                0.74252,                0.55182,                 0.2732,                0.51578,                0.50024,                0.48294,                0.14863,             3.4066e-05,             3.4066e-05,             3.4066e-05
                     69,                0.58342,                0.50209,                0.13584,                0.79079,                0.68645,                0.73757,                0.55301,                0.29193,                0.51826,                0.49715,                0.47779,                0.14392,             3.3067e-05,             3.3067e-05,             3.3067e-05
                     70,                0.57021,                0.49723,                0.13366,                0.79705,                 0.6893,                0.74078,                0.54367,                0.28514,                0.51498,                 0.5106,                0.47758,                0.14998,             3.2068e-05,             3.2068e-05,             3.2068e-05
                     71,                0.58339,                 0.5012,                0.13586,                0.79709,                0.68443,                0.73947,                0.53939,                0.25279,                 0.5067,                0.52277,                0.47189,                0.15632,             3.1069e-05,             3.1069e-05,             3.1069e-05
                     72,                0.57023,                0.50568,                0.13091,                0.77951,                0.69676,                0.74208,                0.54658,                0.28413,                0.51816,                0.49896,                 0.4718,                0.14307,              3.007e-05,              3.007e-05,              3.007e-05
                     73,                0.57761,                0.49541,                0.13131,                0.78741,                0.68945,                0.73912,                0.54435,                0.26129,                0.51019,                0.51155,                 0.4768,                0.15168,             2.9071e-05,             2.9071e-05,             2.9071e-05
                     74,                0.58039,                0.49035,                0.13022,                0.79954,                0.68778,                0.74905,                0.55171,                0.23554,                0.51248,                0.50881,                0.47941,                 0.1534,             2.8072e-05,             2.8072e-05,             2.8072e-05
                     75,                0.57151,                0.48849,                0.12909,                0.78987,                0.70965,                0.75149,                0.54169,                0.29038,                0.51674,                0.50732,                0.47715,                0.15123,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     76,                0.57379,                0.49212,                0.12615,                0.78079,                0.69428,                0.74429,                0.54441,                0.26436,                0.51425,                0.50954,                 0.4733,                0.15153,             2.6074e-05,             2.6074e-05,             2.6074e-05
                     77,                0.56336,                0.49165,                0.13016,                 0.7966,                0.68752,                0.74093,                 0.5443,                0.28216,                0.51589,                 0.5094,                0.48298,                0.15051,             2.5075e-05,             2.5075e-05,             2.5075e-05
                     78,                0.55795,                0.48865,                0.12496,                0.78867,                0.69482,                  0.745,                0.55773,                 0.3076,                0.52337,                0.50042,                0.47849,                 0.1458,             2.4076e-05,             2.4076e-05,             2.4076e-05
                     79,                0.56001,                0.49995,                0.12126,                  0.789,                0.69883,                0.74847,                0.54856,                0.29892,                 0.5215,                0.49733,                0.48155,                 0.1477,             2.3077e-05,             2.3077e-05,             2.3077e-05
                     80,                0.56283,                0.49789,                0.12547,                0.79845,                0.69723,                0.74974,                0.54595,                0.27445,                0.52137,                0.49826,                0.47003,                0.14543,             2.2078e-05,             2.2078e-05,             2.2078e-05
                     81,                0.54777,                0.48276,                0.12347,                0.79282,                0.68958,                0.74798,                0.55189,                 0.2966,                0.52581,                 0.4968,                0.47943,                0.14649,             2.1079e-05,             2.1079e-05,             2.1079e-05
