                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),       metrics/mAP75(B),       metrics/mAP90(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.7003,                 1.4663,                 1.5724,                0.74676,                0.63463,                0.70741,                0.50802,                 0.0731,                0.44362,                 1.5023,                 1.1639,                 1.4337,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.6824,                 1.4518,                 1.5701,                0.71046,                0.67255,                0.71721,                0.52482,                0.11251,                0.46266,                 1.4568,                 1.1208,                 1.4097,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.6956,                 1.4636,                 1.5856,                0.73166,                0.63461,                0.69626,                0.48458,                0.07932,                0.43889,                  1.498,                 1.1248,                 1.4424,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.6701,                 1.4289,                 1.5585,                0.69646,                0.66369,                0.69538,                0.51327,                0.10574,                  0.452,                 1.4278,                 1.1106,                 1.3972,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.6539,                 1.4168,                  1.558,                0.71082,                0.62983,                0.69423,                0.44518,                0.07421,                0.41796,                 1.5633,                 1.2041,                 1.4893,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.6348,                 1.3745,                 1.5435,                0.75163,                0.65396,                0.71185,                0.51926,                0.10569,                 0.4544,                 1.4668,                 1.0918,                 1.4141,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.6449,                 1.4085,                 1.5533,                0.70256,                0.64414,                0.70491,                0.51955,                0.10112,                0.45743,                 1.4483,                 1.1277,                 1.3958,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.6373,                 1.3957,                 1.5323,                 0.7434,                 0.6707,                0.71816,                  0.529,                0.09138,                0.46391,                 1.4435,                 1.0675,                 1.3901,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.6216,                 1.3891,                 1.5285,                 0.6047,                0.59431,                0.64725,                0.36658,                0.05209,                0.36457,                 1.7455,                 1.2754,                 1.6332,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.5928,                 1.3501,                 1.5118,                0.77007,                0.66273,                0.71583,                0.53595,                0.13704,                0.47613,                 1.3973,                 1.0619,                 1.3652,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.5823,                 1.3275,                 1.4901,                 0.7338,                0.65703,                0.71188,                0.54756,                0.15701,                0.48663,                 1.3628,                 1.0456,                 1.3323,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.5952,                 1.3343,                 1.5164,                0.73929,                0.66146,                0.71755,                 0.4993,                0.09711,                0.45374,                 1.4969,                 1.1193,                 1.4196,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.6013,                 1.3559,                 1.5073,                0.67242,                0.63658,                0.68802,                0.52061,                0.11843,                0.45864,                 1.4286,                 1.1312,                 1.3957,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.5566,                 1.3162,                 1.4945,                0.72137,                0.65928,                0.72191,                 0.5097,                0.11631,                 0.4627,                 1.4536,                 1.0541,                 1.4046,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.5622,                 1.3177,                 1.4872,                0.78861,                0.67308,                0.73127,                0.53233,                0.10094,                0.47523,                 1.4128,                 1.0313,                 1.3712,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.5639,                 1.3284,                 1.5058,                0.76925,                0.66211,                0.72711,                0.51619,                0.09613,                0.47012,                 1.4301,                 1.0508,                 1.3858,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.5176,                 1.2836,                 1.4733,                 0.7461,                0.66184,                0.72903,                0.52618,                0.11275,                0.47932,                 1.4192,                 1.0348,                 1.3717,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.5283,                 1.2842,                 1.4728,                0.72374,                0.65609,                0.70888,                0.45632,                0.07849,                0.43289,                 1.5673,                 1.1108,                 1.4872,             0.00063676,             0.00063676,             0.00063676
                     59,                  1.549,                 1.2885,                 1.4671,                0.74693,                0.65876,                0.71791,                0.49125,                0.06752,                 0.4386,                 1.5407,                 1.0823,                 1.4545,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.5165,                 1.2836,                 1.4576,                0.73267,                0.64637,                0.70905,                0.46414,                0.09738,                0.44033,                 1.5243,                 1.1178,                 1.4463,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.5109,                 1.2632,                 1.4515,                0.75394,                0.69584,                0.73517,                0.52853,                0.15667,                0.48312,                 1.4194,                 1.0115,                 1.3677,             0.00059432,             0.00059432,             0.00059432
                     62,                  1.514,                  1.262,                 1.4494,                0.72556,                0.64976,                0.70151,                0.49514,                0.10204,                0.44657,                  1.481,                 1.1057,                 1.4201,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.4919,                 1.2269,                 1.4344,                0.74736,                0.67253,                0.72713,                0.52207,                0.19241,                0.49104,                 1.3567,                 1.0222,                   1.33,             0.00056603,             0.00056603,             0.00056603
                     64,                  1.522,                 1.2743,                 1.4453,                0.78599,                0.68187,                0.72566,                0.54449,                  0.227,                0.50547,                 1.3283,                 1.0098,                 1.3149,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.4823,                 1.2331,                 1.4111,                0.70474,                0.67725,                0.71349,                0.52323,                0.14911,                0.47585,                   1.41,                 1.0448,                 1.3501,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.4987,                 1.2471,                 1.4245,                0.76276,                0.67758,                0.73589,                0.54519,                0.18644,                0.49946,                 1.3626,                0.99931,                 1.3383,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.4966,                  1.235,                 1.4393,                0.71802,                0.67869,                0.71953,                0.50818,                0.14148,                0.46973,                 1.4362,                 1.0458,                 1.4008,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4528,                 1.1941,                  1.407,                0.76954,                0.68403,                0.73612,                0.55695,                 0.1959,                0.50254,                 1.3174,                0.97855,                 1.2979,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.4646,                 1.2115,                 1.4154,                 0.7478,                0.67638,                0.72953,                0.53913,                0.12095,                0.48774,                 1.3731,                 1.0185,                 1.3236,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.4639,                 1.2299,                 1.4111,                0.77532,                0.69949,                0.74078,                0.56658,                0.24105,                0.52092,                 1.2776,                0.95744,                 1.2592,               0.000467,               0.000467,               0.000467
                     71,                 1.4501,                 1.2178,                 1.4142,                0.77143,                 0.6762,                0.73389,                 0.5151,                0.13893,                0.47669,                 1.4103,                 1.0265,                 1.3582,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4408,                 1.1771,                  1.407,                0.79751,                 0.6962,                0.74515,                0.55865,                0.15755,                  0.503,                 1.3261,                0.98257,                 1.3006,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4228,                 1.1658,                  1.387,                0.73988,                0.68331,                0.73269,                0.56405,                0.19733,                0.51238,                 1.2859,                0.97273,                 1.2716,             0.00042456,             0.00042456,             0.00042456
